name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,Star Type Complex,Star Type Simple
Kepler-573 b,2517,14.292,Neptune-like,2016,8.2,5972200000000000000000000,0.249,11.209,0.1486,0.06078029,0,Transit,K1 III,K
Kepler-574 b,2228,14.671,Neptune-like,2016,6.3,5972200000000000000000000,0.213,11.209,0.0723,0.021081451,0,Transit,G5 V,G
Kepler-575 b,2786,14.864,Neptune-like,2016,6.3,5972200000000000000000000,0.213,11.209,0.0788,0.025735795,0,Transit,G V,G
Kepler-581 b,2296,14.701,Neptune-like,2016,7.41,5972200000000000000000000,0.235,11.209,0.2259,0.11115674,0,Transit,K0 V,K
Kepler-582 b,2000,15.097,Neptune-like,2016,13.1,5972200000000000000000000,0.328,11.209,0.1254,0.05065024,0,Transit,K0 V,K
Kepler-583 b,2829,14.883,Neptune-like,2016,5.82,5972200000000000000000000,0.203,11.209,0.0689,0.01779603,0,Transit,K0/1 III,K
Kepler-584 b,6031,14.973,Neptune-like,2016,16.5,5972200000000000000000000,0.376,11.209,0.2281,0.09637235,0,Transit,A5-A6,A
Kepler-585 b,1909,14.188,Neptune-like,2016,8.4,5972200000000000000000000,0.252,11.209,0.0375,0.007665982,0,Transit,G0 V,G
Kepler-586 b,2263,14.435,Neptune-like,2016,8.2,5972200000000000000000000,0.249,11.209,0.0331,0.005749486,0,Transit,F5 V,F
Kepler-588 b,3945,14.8,Neptune-like,2016,7.41,5972200000000000000000000,0.235,11.209,0.052,0.011498973,0,Transit,G0 V,G
Kepler-589 b,1999,14.775,Neptune-like,2016,5.77,5972200000000000000000000,0.203,11.209,0.1196,0.04517454,0,Transit,G0V,G
Kepler-58 b,3162,15.086,Neptune-like,2012,35.5,5972200000000000000000000,0.248,11.209,0.0927,0.027926078,0,Transit,F6 V,F
Kepler-58 d,3162,15.086,Neptune-like,2014,8.96,5972200000000000000000000,0.262,11.209,0.236,0.109787814,0,Transit,F6 V,F
Kepler-590 b,4638,14.554,Neptune-like,2016,15.2,5972200000000000000000000,0.359,11.209,0.0647,0.01615332,0,Transit,F6 V,F
Kepler-591 b,2561,14.628,Neptune-like,2016,11.4,5972200000000000000000000,0.302,11.209,0.3554,0.22231348,0,Transit,A5 V,A
Kepler-592 b,3762,14.846,Neptune-like,2016,6.3,5972200000000000000000000,0.213,11.209,0.0397,0.007665982,0,Transit,A5 V,A
Kepler-593 b,3176,14.622,Neptune-like,2016,8.6,5972200000000000000000000,0.256,11.209,0.1508,0.05804244,0,Transit,A5 V,A
Kepler-595 b,2097,15.067,Neptune-like,2016,17.4,5972200000000000000000000,0.331,11.209,0.1582,0.06926762,0,Transit,A5,A
Kepler-599 b,1822,15.067,Neptune-like,2016,8.45,5972200000000000000000000,0.253,11.209,0.1128,0.04298426,0,Transit,F9,F
Kepler-600 b,2022,14.846,Neptune-like,2016,8.75,5972200000000000000000000,0.259,11.209,0.1536,0.06488707,0,Transit,G0 V,G
Kepler-603 b,5022,14.969,Neptune-like,2016,7.51,5972200000000000000000000,0.236,11.209,0.1502,0.057768654,0,Transit,K3,K
Kepler-603 c,5022,14.969,Neptune-like,2016,34.5,5972200000000000000000000,0.58,11.209,0.5001,0.35017112,0,Transit,K5,K
Kepler-604 b,3348,14.791,Neptune-like,2016,7.22,5972200000000000000000000,0.231,11.209,0.1735,0.070910335,0,Transit,M2.5e,M
Kepler-606 b,3964,14.895,Neptune-like,2016,11,5972200000000000000000000,0.295,11.209,0.17,0.06652977,0,Transit,K1,K
Kepler-607 c,1693,14.672,Neptune-like,2021,8.05,5972200000000000000000000,0.246,11.209,0.2122,0.108692676,0,Transit,F9 IV,F
Kepler-609 b,3477,14.96,Neptune-like,2016,11.2,5972200000000000000000000,0.299,11.209,0.0682,0.01779603,0,Transit,G8,G
Kepler-610 b,2759,14.816,Neptune-like,2016,16.3,5972200000000000000000000,0.374,11.209,0.0719,0.019164955,0,Transit,K3 V,K
Kepler-610 c,2759,14.816,Neptune-like,2016,10.9,5972200000000000000000000,0.294,11.209,0.5594,0.41587952,0,Transit,G2,G
Kepler-612 b,4715,15.191,Neptune-like,2016,8.45,5972200000000000000000000,0.253,11.209,0.0452,0.010130048,0,Transit,G2,G
Kepler-613 b,2810,14.795,Neptune-like,2016,5.86,5972200000000000000000000,0.204,11.209,0.1232,0.04325804,0,Transit,G,G
Kepler-616 b,3085,15.021,Neptune-like,2016,6.48,5972200000000000000000000,0.217,11.209,0.0927,0.027378507,0,Transit,G4,G
Kepler-616 d,3085,15.021,Neptune-like,2021,7.52,5972200000000000000000000,0.237,11.209,0.2749,0.13990417,0,Transit,M1.0 V,M
Kepler-618 b,3986,15.087,Neptune-like,2016,7.27,5972200000000000000000000,0.232,11.209,0.046,0.009856262,0,Transit,M1.0 V,M
Kepler-621 b,1269,15.22,Neptune-like,2016,5.9,5972200000000000000000000,0.205,11.209,0.031,0.007118412,0,Transit,F9,F
Kepler-626 b,2073,14.086,Neptune-like,2016,5.86,5972200000000000000000000,0.204,11.209,0.115,0.039698835,0,Transit,M0,M
Kepler-639 b,2773,13.358,Neptune-like,2016,6.26,5972200000000000000000000,0.212,11.209,0.0966,0.027926078,0,Transit,G3,G
Kepler-647 c,3549,14.067,Neptune-like,2020,15.1,5972200000000000000000000,0.357,11.209,0.1827,0.08131417,0,Transit,M1.5 V,M
Kepler-648 b,2075,14.027,Neptune-like,2016,10.5,5972200000000000000000000,0.287,11.209,0.1341,0.047638603,0,Transit,M1.5 V,M
Kepler-649 b,1676,13.556,Neptune-like,2016,5.73,5972200000000000000000000,0.202,11.209,0.1805,0.081861734,0,Transit,M1.5 V,M
Kepler-650 b,2885,13.825,Neptune-like,2016,9.06,5972200000000000000000000,0.264,11.209,0.0421,0.008213553,0,Transit,M1.5 V,M
Kepler-651 b,1662,14.233,Neptune-like,2016,6.21,5972200000000000000000000,0.211,11.209,0.1409,0.058590006,0,Transit,K5.5,K
Kepler-652 b,1287,13.618,Neptune-like,2016,6.76,5972200000000000000000000,0.222,11.209,0.0503,0.011498973,0,Transit,K5.5,K
Kepler-655 b,2455,13.568,Neptune-like,2016,7.8,5972200000000000000000000,0.242,11.209,0.2559,0.12703627,0,Transit,K5.5,K
Kepler-656 b,2904,15.549,Neptune-like,2016,9.91,5972200000000000000000000,0.278,11.209,0.0232,0.003559206,0,Transit,M3 V,M
Kepler-657 b,5519,15.404,Neptune-like,2016,12.2,5972200000000000000000000,0.314,11.209,0.1654,0.067077346,0,Transit,G8 V,G
Kepler-659 b,2357,15.758,Neptune-like,2016,6.8,5972200000000000000000000,0.223,11.209,0.1204,0.048459962,0,Transit,G8 V,G
Kepler-65 c,991,10.922,Neptune-like,2012,5.4,5972200000000000000000000,0.23,11.209,0.068,0.01615332,0.02,Transit,G8 V,G
Kepler-660 b,1854,15.559,Neptune-like,2016,7.13,5972200000000000000000000,0.229,11.209,0.0759,0.025462013,0,Transit,G8 V,G
Kepler-661 b,1744,16.016,Neptune-like,2016,9.64,5972200000000000000000000,0.274,11.209,0.0585,0.016427105,0,Transit,G8 V,G
Kepler-663 b,3468,15.881,Neptune-like,2016,7.27,5972200000000000000000000,0.232,11.209,0.0559,0.013689254,0,Transit,G8 V,G
Kepler-664 b,3947,15.663,Neptune-like,2016,7.56,5972200000000000000000000,0.237,11.209,0.0374,0.006844627,0,Transit,K0 V,K
Kepler-665 b,1999,15.612,Neptune-like,2016,7.27,5972200000000000000000000,0.232,11.209,0.1148,0.043805614,0,Transit,M0,M
Kepler-666 b,4921,15.422,Neptune-like,2016,6.35,5972200000000000000000000,0.214,11.209,0.0542,0.012320329,0,Transit,G6 V,G
Kepler-667 b,7511,15.362,Neptune-like,2016,20.1,5972200000000000000000000,0.422,11.209,0.2288,0.113347024,0,Transit,K7 V,K
Kepler-668 b,2559,15.365,Neptune-like,2016,7.75,5972200000000000000000000,0.241,11.209,0.0768,0.022997946,0,Transit,K7 V,K
