name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,Star Type Complex,Star Type Simple
Kepler-1211 b,5958,16.016,Neptune-like,2016,7.04,5972200000000000000000000,0.227,11.209,0.0985,0.030116359,0,Transit,K4 V,K
Kepler-1214 b,2379,15.459,Neptune-like,2016,6.17,5972200000000000000000000,0.211,11.209,0.128,0.05147159,0,Transit,G3 V,G
Kepler-121 b,1665,14.904,Neptune-like,2014,6.08,5972200000000000000000000,0.209,11.209,0.039,0.008761123,0,Transit,G3 V,G
Kepler-121 c,1665,14.904,Neptune-like,2014,5.77,5972200000000000000000000,0.203,11.209,0.216,0.112251885,0,Transit,G3 V,G
Kepler-1227 b,2035,14.276,Neptune-like,2016,5.86,5972200000000000000000000,0.204,11.209,0.4092,0.25817934,0,Transit,G5,G
Kepler-122 b,3352,14.403,Neptune-like,2014,6.08,5972200000000000000000000,0.209,11.209,0.064,0.015879534,0,Transit,G4 V,G
Kepler-122 c,3352,14.403,Neptune-like,2014,29,5972200000000000000000000,0.524,11.209,0.108,0.034223136,0,Transit,K0,K
Kepler-122 e,3352,14.403,Neptune-like,2014,27.7,5972200000000000000000000,0.232,11.209,0.227,0.10403833,0,Transit,K0,K
Kepler-1230 b,4450,15.628,Neptune-like,2016,7.8,5972200000000000000000000,0.242,11.209,0.0921,0.027378507,0,Transit,G8 IV,G
Kepler-1233 b,3845,14.82,Neptune-like,2016,7.27,5972200000000000000000000,0.232,11.209,0.263,0.123477064,0,Transit,K3V,K
Kepler-1234 b,2990,15.915,Neptune-like,2016,8.3,5972200000000000000000000,0.251,11.209,0.096,0.032580424,0,Transit,K0,K
Kepler-1237 b,3472,16.012,Neptune-like,2016,8.55,5972200000000000000000000,0.255,11.209,0.3778,0.23162217,0,Transit,K0,K
Kepler-1239 b,6983,15.391,Neptune-like,2016,8.75,5972200000000000000000000,0.259,11.209,0.0625,0.014236824,0,Transit,K3 V,K
Kepler-1241 b,3160,15.886,Neptune-like,2016,7.41,5972200000000000000000000,0.235,11.209,0.1336,0.050924025,0,Transit,G6 V,G
Kepler-1242 b,2243,15.714,Neptune-like,2016,5.73,5972200000000000000000000,0.202,11.209,0.1039,0.037234772,0,Transit,K0 V,K
Kepler-1247 b,3412,15.925,Neptune-like,2016,6.04,5972200000000000000000000,0.208,11.209,0.1091,0.037508555,0,Transit,K0,K
Kepler-1249 b,6213,15.391,Neptune-like,2016,6.26,5972200000000000000000000,0.212,11.209,0.167,0.06652977,0,Transit,G3 V,G
Kepler-1255 b,5275,15.308,Neptune-like,2016,5.99,5972200000000000000000000,0.207,11.209,0.2226,0.09938398,0,Transit,K2,K
Kepler-125 b,598,15.431,Neptune-like,2014,6.21,5972200000000000000000000,0.211,11.209,0.041,0.011498973,0,Transit,G0 V,G
Kepler-1261 b,2428,15.817,Neptune-like,2016,5.73,5972200000000000000000000,0.202,11.209,0.239,0.13251199,0,Transit,F8,F
Kepler-1266 b,2770,16.016,Neptune-like,2016,7.18,5972200000000000000000000,0.23,11.209,0.1689,0.078028746,0,Transit,G2 V,G
Kepler-1267 b,4500,15.846,Neptune-like,2016,9.32,5972200000000000000000000,0.269,11.209,0.1057,0.03559206,0,Transit,G2 V,G
Kepler-126 d,774,10.505,Neptune-like,2014,6.8,5972200000000000000000000,0.223,11.209,0.448,0.27460644,0.02,Transit,G2 V,G
Kepler-1270 b,3572,13.562,Neptune-like,2016,11,5972200000000000000000000,0.296,11.209,0.0663,0.016427105,0,Transit,G3 IV,G
Kepler-1272 b,3935,14.734,Neptune-like,2016,6.21,5972200000000000000000000,0.211,11.209,0.2705,0.13990417,0,Transit,G3 IV,G
Kepler-1273 b,3635,16.03,Neptune-like,2016,6.76,5972200000000000000000000,0.222,11.209,0.1857,0.07830253,0,Transit,G5 V,G
Kepler-127 c,1151,11.746,Neptune-like,2014,7.56,5972200000000000000000000,0.237,11.209,0.2,0.08049281,0.03,Transit,G5 V,G
Kepler-1294 b,6053,15.361,Neptune-like,2016,10.3,5972200000000000000000000,0.285,11.209,0.4684,0.31676933,0,Transit,F7 V,F
Kepler-1299 b,4583,15.962,Neptune-like,2016,9.17,5972200000000000000000000,0.266,11.209,0.1357,0.05448323,0,Transit,G4 V,G
Kepler-129 b,1334,11.809,Super Earth,2014,20,5972200000000000000000000,0.214,11.209,0.13,0.04325804,0.01,Transit,G4 V,G
Kepler-1304 b,7098,15.408,Neptune-like,2016,5.86,5972200000000000000000000,0.204,11.209,0.1202,0.044079397,0,Transit,G4 V,G
Kepler-1307 b,3310,15.636,Neptune-like,2016,6.66,5972200000000000000000000,0.22,11.209,0.1369,0.049281314,0,Transit,G5,G
Kepler-1314 b,463,17.816,Neptune-like,2016,22.9,5972200000000000000000000,0.456,11.209,0.0504,0.014784395,0,Transit,K2 IV,K
Kepler-1316 b,2612,14.119,Neptune-like,2016,12.3,5972200000000000000000000,0.316,11.209,0.3859,0.24093087,0,Transit,G,G
Kepler-1318 b,1550,15.531,Neptune-like,2016,9.85,5972200000000000000000000,0.277,11.209,0.6085,0.5839836,0,Transit,G,G
Kepler-131 b,746,11.493,Super Earth,2014,16.13,5972200000000000000000000,0.215,11.209,0.1238,0.044079397,0,Transit,K2 V,K
Kepler-1321 b,2509,17.5054,Neptune-like,2016,21.5,5972200000000000000000000,0.439,11.209,0.0781,0.030390145,0,Transit,K2 V,K
Kepler-1321 c,2509,17.5054,Neptune-like,2016,6.35,5972200000000000000000000,0.214,11.209,0.0267,0.006023272,0,Transit,F8 V,F
Kepler-1321 d,2509,17.5054,Neptune-like,2021,7.41,5972200000000000000000000,0.234,11.209,0.0501,0.015605749,0,Transit,F8 V,F
Kepler-1325 b,3175,15.311,Neptune-like,2016,8.55,5972200000000000000000000,0.255,11.209,0.2004,0.09281315,0,Transit,G0,G
Kepler-1326 b,2278,12.842,Neptune-like,2016,16.3,5972200000000000000000000,0.373,11.209,0.2743,0.11608488,0,Transit,K4 III,K
Kepler-1333 b,3042,15.421,Neptune-like,2016,8.3,5972200000000000000000000,0.251,11.209,0.4382,0.30006844,0,Transit,G5 III/IV,G
Kepler-1334 b,3990,15.461,Neptune-like,2016,5.86,5972200000000000000000000,0.204,11.209,0.1229,0.042710472,0,Transit,G9 III,G
Kepler-1337 b,1963,16.21,Neptune-like,2016,6.39,5972200000000000000000000,0.215,11.209,0.1441,0.06680356,0,Transit,G6IV,G
Kepler-133 c,2132,12.896,Neptune-like,2014,8.45,5972200000000000000000000,0.253,11.209,0.204,0.0862423,0,Transit,G6IV,G
Kepler-1341 b,1556,15.356,Neptune-like,2016,9.22,5972200000000000000000000,0.267,11.209,0.4498,0.36413416,0,Transit,G0Vvar,G
Kepler-1345 b,4420,13.775,Neptune-like,2016,6.17,5972200000000000000000000,0.211,11.209,0.2638,0.12210814,0,Transit,K0,K
Kepler-1350 b,1111,16.577,Neptune-like,2016,6.9,5972200000000000000000000,0.225,11.209,0.0413,0.012320329,0,Transit,K0,K
Kepler-1354 b,3652,14.59,Neptune-like,2016,9.11,5972200000000000000000000,0.265,11.209,0.3521,0.20971936,0,Transit,K0,K
Kepler-1359 b,2006,15.987,Neptune-like,2016,8.4,5972200000000000000000000,0.252,11.209,0.2769,0.16290212,0,Transit,K0,K
Kepler-1360 b,4946,14.007,Neptune-like,2016,11.5,5972200000000000000000000,0.303,11.209,0.2866,0.11088296,0,Transit,G2/G3 V,G
Kepler-1362 b,2385,16.05,Neptune-like,2016,7.27,5972200000000000000000000,0.232,11.209,0.4626,0.37289527,0,Transit,F7V,F
Kepler-1369 b,4034,15.621,Neptune-like,2016,7.7,5972200000000000000000000,0.24,11.209,0.1741,0.070910335,0,Transit,G1 IV,G
Kepler-1374 b,3518,15.991,Neptune-like,2016,5.86,5972200000000000000000000,0.204,11.209,0.0918,0.029295003,0,Transit,F7V,F
Kepler-1381 b,3905,15.579,Neptune-like,2016,5.69,5972200000000000000000000,0.201,11.209,0.1728,0.06954141,0,Transit,G9 IV-V,G
Kepler-1388 b,1480,16.43,Neptune-like,2016,7.22,5972200000000000000000000,0.231,11.209,0.0882,0.033675566,0,Transit,K0,K
Kepler-1388 c,1480,16.43,Neptune-like,2016,5.73,5972200000000000000000000,0.202,11.209,0.0519,0.015058179,0,Transit,G1 V,G
Kepler-1388 d,1480,16.43,Neptune-like,2016,8.55,5972200000000000000000000,0.255,11.209,0.126,0.057494868,0,Transit,F5,F
Kepler-1388 e,1480,16.43,Neptune-like,2016,6.62,5972200000000000000000000,0.219,11.209,0.1861,0.10294318,0,Transit,G6 V,G
Kepler-139 c,1276,12.775,Neptune-like,2014,11.4,5972200000000000000000000,0.302,11.209,0.586,0.4301164,0,Transit,G3 V,G
Kepler-1405 b,4992,16.028,Neptune-like,2016,14.9,5972200000000000000000000,0.353,11.209,0.1778,0.077207394,0,Transit,K0,K
Kepler-1407 b,4555,15.023,Neptune-like,2016,5.69,5972200000000000000000000,0.201,11.209,0.1502,0.0550308,0,Transit,K0V,K
Kepler-1411 b,5416,15.945,Neptune-like,2016,8.35,5972200000000000000000000,0.252,11.209,0.4001,0.23572895,0,Transit,K0,K
Kepler-1419 b,4888,15.96,Neptune-like,2016,8.55,5972200000000000000000000,0.255,11.209,0.2391,0.11635866,0,Transit,G0 V,G
Kepler-142 c,1790,13.277,Neptune-like,2014,8.55,5972200000000000000000000,0.255,11.209,0.057,0.013141684,0,Transit,G0 V,G
Kepler-143 b,2640,13.882,Neptune-like,2014,6.39,5972200000000000000000000,0.215,11.209,0.127,0.043805614,0,Transit,G9 V,G
Kepler-143 c,2640,13.882,Neptune-like,2014,11.3,5972200000000000000000000,0.301,11.209,0.181,0.07419576,0,Transit,G9 V,G
Kepler-1442 b,1986,12.114,Neptune-like,2016,14.7,5972200000000000000000000,0.351,11.209,0.4039,0.22286105,0,Transit,M1,M
Kepler-1447 b,2904,14.747,Neptune-like,2016,8.75,5972200000000000000000000,0.259,11.209,0.2836,0.15523614,0,Transit,G3/5V,G
Kepler-1451 b,3454,15.313,Neptune-like,2016,11.2,5972200000000000000000000,0.299,11.209,0.2101,0.09746748,0,Transit,G5,G
Kepler-1452 b,3250,13.215,Neptune-like,2016,7.75,5972200000000000000000000,0.241,11.209,0.2697,0.117453806,0,Transit,G1 V,G
Kepler-1453 b,3901,15.695,Neptune-like,2016,7.61,5972200000000000000000000,0.238,11.209,0.262,0.12922657,0,Transit,G1 V,G
Kepler-1458 b,1776,14.434,Neptune-like,2016,8.05,5972200000000000000000000,0.246,11.209,0.2495,0.13141684,0,Transit,G0/2 V,G
Kepler-145 b,1849,11.977,Neptune-like,2013,37.1,5972200000000000000000000,0.236,11.209,0.1699,0.06297057,0.43,Transit,F8,F
Kepler-1462 b,3320,15.888,Neptune-like,2016,14,5972200000000000000000000,0.341,11.209,0.3094,0.17960301,0,Transit,F8,F
Kepler-1467 b,2782,15.83,Neptune-like,2016,10.9,5972200000000000000000000,0.294,11.209,0.2388,0.12895277,0,Transit,K0 III/IV,K
Kepler-1468 d,6195,15.111,Neptune-like,2021,11.1,5972200000000000000000000,0.297,11.209,0.1456,0.053661875,0,Transit,G0,G
Kepler-1469 b,3782,16.2388,Neptune-like,2016,8.25,5972200000000000000000000,0.25,11.209,0.1466,0.05995893,0,Transit,G0,G
Kepler-146 b,2338,13.921,Neptune-like,2014,13.3,5972200000000000000000000,0.331,11.209,0.2,0.085420944,0,Transit,K0V,K
Kepler-146 c,2338,13.921,Neptune-like,2014,9.96,5972200000000000000000000,0.279,11.209,0.364,0.20999315,0,Transit,K2 III,K
Kepler-1475 b,5116,15.36,Neptune-like,2016,8.85,5972200000000000000000000,0.261,11.209,0.373,0.22505133,0,Transit,K0,K
Kepler-147 c,3399,14.134,Neptune-like,2014,6.48,5972200000000000000000000,0.217,11.209,0.216,0.091444224,0,Transit,G0 V,G
Kepler-1490 b,2815,15.616,Neptune-like,2016,9.48,5972200000000000000000000,0.271,11.209,0.3729,0.25297743,0,Transit,G6 V,G
Kepler-1494 b,4193,15.372,Neptune-like,2016,9.64,5972200000000000000000000,0.274,11.209,0.3982,0.2494182,0,Transit,K0,K
Kepler-1495 b,4422,15.494,Neptune-like,2016,8.96,5972200000000000000000000,0.262,11.209,0.3677,0.23353869,0,Transit,G0,G
Kepler-149 b,1863,14.152,Neptune-like,2014,16.5,5972200000000000000000000,0.376,11.209,0.184,0.079945244,0,Transit,G0,G
Kepler-149 d,1863,14.152,Neptune-like,2014,14.9,5972200000000000000000000,0.353,11.209,0.571,0.4380561,0,Transit,K1 V,K
Kepler-1502 b,4939,14.18,Neptune-like,2016,10.2,5972200000000000000000000,0.284,11.209,0.2482,0.11416838,0,Transit,K1 V,K
Kepler-1503 b,3998,15.892,Neptune-like,2016,5.77,5972200000000000000000000,0.203,11.209,0.3771,0.26338124,0,Transit,K0,K
Kepler-150 c,2907,15.161,Neptune-like,2014,13.2,5972200000000000000000000,0.329,11.209,0.073,0.020260096,0,Transit,K0,K
Kepler-150 d,2907,15.161,Neptune-like,2014,8.2,5972200000000000000000000,0.249,11.209,0.104,0.034496922,0,Transit,K0,K
Kepler-150 e,2907,15.161,Neptune-like,2014,9.91,5972200000000000000000000,0.278,11.209,0.189,0.084325805,0,Transit,F8 V,F
Kepler-150 f,2907,15.161,Neptune-like,2017,12.9,5972200000000000000000000,0.325,11.209,1.24,1.7,0,Transit,K0 IV-V,K
Kepler-1510 b,5533,15.315,Neptune-like,2016,11.2,5972200000000000000000000,0.3,11.209,0.4089,0.23189595,0,Transit,G9,G
Kepler-1518 b,2947,13.374,Neptune-like,2016,9.53,5972200000000000000000000,0.272,11.209,0.0593,0.013963039,0,Transit,G3 IV,G
Kepler-1519 b,4703,15.124,Gas Giant,2016,39.6,5972200000000000000000000,0.63,11.209,0.7655,0.65927446,0,Transit,G5 V,G
Kepler-151 b,2120,14.957,Neptune-like,2014,9.59,5972200000000000000000000,0.273,11.209,0.116,0.04161533,0,Transit,G5 V,G
Kepler-1520 b,1983,16.002,Neptune-like,2016,28.1,5972200000000000000000000,0.515,11.209,0.0129,0.001916496,0,Transit,F8 IV,F
Kepler-1521 b,675,13.049,Neptune-like,2016,6.8,5972200000000000000000000,0.223,11.209,0.2317,0.12895277,0,Transit,G0,G
Kepler-1524 b,1245,12.802,Neptune-like,2016,12.3,5972200000000000000000000,0.316,11.209,0.3392,0.1943874,0,Transit,G0,G
Kepler-1526 b,1812,15.935,Neptune-like,2016,6.48,5972200000000000000000000,0.217,11.209,0.0418,0.010677618,0,Transit,G2V,G
Kepler-1527 b,6009,15.161,Neptune-like,2016,20.4,5972200000000000000000000,0.426,11.209,0.6276,0.43832994,0,Transit,G2V,G
Kepler-1530 d,1598,14.15,Neptune-like,2021,10.8,5972200000000000000000000,0.293,11.209,0.0865,0.025188226,0,Transit,G6,G
Kepler-1533 b,3154,13.289,Neptune-like,2016,11.8,5972200000000000000000000,0.309,11.209,0.9625,0.84462696,0,Transit,G6,G
Kepler-1535 b,2928,14.385,Neptune-like,2016,7.04,5972200000000000000000000,0.227,11.209,0.5329,0.38028747,0,Transit,F8 IV/V,F
Kepler-1536 b,1263,15.464,Neptune-like,2016,10,5972200000000000000000000,0.28,11.209,0.8507,0.9987679,0,Transit,K2,K
Kepler-1538 b,3671,15.551,Neptune-like,2016,8.35,5972200000000000000000000,0.252,11.209,0.6095,0.47939768,0,Transit,K2,K
Kepler-1539 b,2441,15.487,Neptune-like,2016,7.75,5972200000000000000000000,0.241,11.209,0.4765,0.3649555,0,Transit,G0 V,G
Kepler-153 b,1498,14.388,Neptune-like,2014,8.85,5972200000000000000000000,0.261,11.209,0.129,0.051745377,0,Transit,K0,K
Kepler-153 c,1498,14.388,Neptune-like,2014,6.94,5972200000000000000000000,0.226,11.209,0.237,0.12840521,0,Transit,G0,G
Kepler-1540 b,799,14.429,Neptune-like,2016,6.76,5972200000000000000000000,0.222,11.209,0.4426,0.34332648,0,Transit,G0,G
Kepler-1543 b,3007,13.495,Neptune-like,2016,7.8,5972200000000000000000000,0.242,11.209,0.0867,0.019164955,0,Transit,G0,G
Kepler-1545 b,2381,15.256,Neptune-like,2016,7.75,5972200000000000000000000,0.241,11.209,0.5442,0.44818616,0,Transit,G0,G
Kepler-1546 b,3040,15.596,Neptune-like,2016,9.96,5972200000000000000000000,0.279,11.209,0.1366,0.053661875,0,Transit,G0,G
Kepler-1548 b,2845,15.324,Neptune-like,2016,7.46,5972200000000000000000000,0.236,11.209,0.4679,0.34168378,0,Transit,K5 III,K
Kepler-1549 b,2620,15.353,Neptune-like,2016,7.13,5972200000000000000000000,0.229,11.209,0.6687,0.5883641,0,Transit,K V,K
Kepler-154 b,2985,14.646,Neptune-like,2014,5.73,5972200000000000000000000,0.202,11.209,0.198,0.09034908,0,Transit,K V,K
Kepler-154 c,2985,14.646,Neptune-like,2014,9.01,5972200000000000000000000,0.263,11.209,0.303,0.17056811,0,Transit,G0 V,G
Kepler-154 d,2985,14.646,Neptune-like,2016,14.1,5972200000000000000000000,0.343,11.209,0.1415,0.056125943,0,Transit,G0 V,G
Kepler-1550 b,3846,15.107,Neptune-like,2016,9.38,5972200000000000000000000,0.269,11.209,0.7681,0.61765915,0,Transit,G5 V,G
Kepler-1551 b,4775,15.371,Neptune-like,2016,7.56,5972200000000000000000000,0.237,11.209,0.1772,0.067077346,0,Transit,G5 V,G
Kepler-1552 b,2509,15.203,Neptune-like,2016,6.66,5972200000000000000000000,0.22,11.209,0.6045,0.50595486,0,Transit,K1 IV,K
Kepler-1554 b,3089,15.93,Neptune-like,2016,8.75,5972200000000000000000000,0.259,11.209,0.6314,0.54236823,0,Transit,K1 IV,K
Kepler-155 c,957,14.654,Neptune-like,2014,5.65,5972200000000000000000000,0.2,11.209,0.242,0.14428474,0,Transit,G3 IV-V,G
Kepler-1562 b,6722,15.303,Neptune-like,2016,12.3,5972200000000000000000000,0.317,11.209,0.3308,0.17604381,0,Transit,G3 IV-V,G
Kepler-1567 b,3934,15.92,Neptune-like,2016,7.9,5972200000000000000000000,0.244,11.209,0.552,0.421629,0,Transit,G3 IV-V,G
Kepler-156 b,1447,14.339,Neptune-like,2014,5.9,5972200000000000000000000,0.205,11.209,0.054,0.013689254,0,Transit,G3 IV-V,G
Kepler-156 c,1447,14.339,Neptune-like,2014,7.04,5972200000000000000000000,0.227,11.209,0.117,0.043531828,0,Transit,G9 III,G
Kepler-157 c,2524,14.206,Neptune-like,2014,5.65,5972200000000000000000000,0.2,11.209,0.11,0.036960986,0,Transit,G5 IV,G
Kepler-1593 b,2082,16.19,Neptune-like,2016,10.2,5972200000000000000000000,0.283,11.209,0.546,0.47775495,0,Transit,G2,G
Kepler-159 b,1219,15.386,Neptune-like,2014,6.26,5972200000000000000000000,0.212,11.209,0.082,0.027652293,0,Transit,K3 V,K
Kepler-159 c,1219,15.386,Neptune-like,2014,11.5,5972200000000000000000000,0.304,11.209,0.218,0.11937029,0,Transit,G5,G
Kepler-1600 b,3363,16.076,Neptune-like,2016,9.96,5972200000000000000000000,0.279,11.209,0.9712,1.0579056,0,Transit,G5,G
Kepler-160 c,3057,14.816,Neptune-like,2014,13.6,5972200000000000000000000,0.335,11.209,0.1192,0.037508555,0,Transit,G1 V,G
Kepler-1624 b,845,16.597,Neptune-like,2016,27.6,5972200000000000000000000,0.509,11.209,0.0327,0.009034907,0,Transit,G5,G
Kepler-1625 b,7536,16.227,Neptune-like,2016,30.6,5972200000000000000000000,0.541,11.209,0.8748,0.7868583,0,Transit,G2 V,G
Kepler-1627 b,1035,13.111,Neptune-like,2016,13.2,5972200000000000000000000,0.329,11.209,0.0643,0.019712524,0,Transit,K3.5 V,K
Kepler-1628 b,1148,17.8298,Neptune-like,2016,33.8,5972200000000000000000000,0.574,11.209,0.2952,0.2091718,0,Transit,G9 V,G
Kepler-162 c,2791,14.351,Neptune-like,2014,9.43,5972200000000000000000000,0.27,11.209,0.137,0.053114302,0,Transit,G9 V,G
Kepler-1632 b,2338,13.22,Neptune-like,2016,6.66,5972200000000000000000000,0.22,11.209,0.6762,1.2273785,0,Transit,G9 V,G
Kepler-1634 b,2014,14.636,Neptune-like,2016,10.3,5972200000000000000000000,0.285,11.209,1.0525,1.0264202,0,Transit,G9 V,G
Kepler-1635 b,3489,15.82,Neptune-like,2016,12.9,5972200000000000000000000,0.325,11.209,1.117,1.2856947,0,Transit,G3/5 V,G
Kepler-1636 b,6353,15.807,Neptune-like,2016,10.5,5972200000000000000000000,0.288,11.209,1.1546,1.1649555,0,Transit,G8 V,G
Kepler-1639 b,3364,14.593,Neptune-like,2016,7.18,5972200000000000000000000,0.23,11.209,0.0932,0.027104722,0,Transit,F7 V,F
Kepler-163 c,2250,14.467,Neptune-like,2014,5.73,5972200000000000000000000,0.202,11.209,0.152,0.05831622,0,Transit,K0 IV-V,K
Kepler-1640 b,6067,14.754,Neptune-like,2016,20.7,5972200000000000000000000,0.43,11.209,0.0836,0.020807665,0,Transit,K1 IV,K
Kepler-1641 b,2807,14.49,Neptune-like,2016,9.85,5972200000000000000000000,0.277,11.209,0.1473,0.053935662,0,Transit,G5 V,G
Kepler-1641 c,2807,14.49,Neptune-like,2016,9.01,5972200000000000000000000,0.263,11.209,0.2065,0.089527726,0,Transit,G8 III,G
Kepler-1642 b,1350,14.319,Neptune-like,2016,10.3,5972200000000000000000000,0.285,11.209,0.1016,0.03340178,0,Transit,G2V,G
Kepler-1642 c,1350,14.319,Neptune-like,2016,7.56,5972200000000000000000000,0.237,11.209,0.0678,0.0183436,0,Transit,G5,G
Kepler-1643 b,1115,14.072,Neptune-like,2016,5.99,5972200000000000000000000,0.207,11.209,0.0531,0.01451061,0,Transit,G5,G
Kepler-164 c,2906,14.379,Neptune-like,2014,7.9,5972200000000000000000000,0.244,11.209,0.097,0.029842572,0,Transit,G5,G
Kepler-165 b,1830,15.05,Neptune-like,2014,5.99,5972200000000000000000000,0.207,11.209,0.072,0.022450376,0,Transit,K1 III,K
Kepler-1664 b,2044,13.621,Neptune-like,2020,9.45,5972200000000000000000000,0.271,11.209,0.1137,0.03942505,0,Transit,F8 V,F
Kepler-1665 b,1094,13.737,Neptune-like,2020,8.44,5972200000000000000000000,0.253,11.209,0.1006,0.03285421,0,Transit,F8 V,F
Kepler-1666 b,4500,15.104,Neptune-like,2020,8.66,5972200000000000000000000,0.257,11.209,0.1761,0.07063655,0,Transit,G5 IV,G
Kepler-1666 c,4500,15.104,Neptune-like,2020,10.5,5972200000000000000000000,0.289,11.209,0.2383,0.111430526,0,Transit,K0 III,K
Kepler-1667 b,2045,13.52,Neptune-like,2020,9.19,5972200000000000000000000,0.266,11.209,0.4256,0.22888432,0,Transit,G0,G
Kepler-1668 b,4357,15.792,Neptune-like,2020,17.4,5972200000000000000000000,0.388,11.209,0.124,0.042162903,0,Transit,G8 V,G
Kepler-1669 b,1773,16.473,Neptune-like,2020,8.15,5972200000000000000000000,0.248,11.209,0.0745,0.026009582,0,Transit,G5,G
Kepler-166 b,1969,14.857,Neptune-like,2014,5.77,5972200000000000000000000,0.203,11.209,0.072,0.021081451,0,Transit,G8,G
Kepler-166 c,1969,14.857,Neptune-like,2014,6.26,5972200000000000000000000,0.212,11.209,0.195,0.09390828,0,Transit,K2,K
Kepler-1670 b,6739,15.743,Neptune-like,2020,11.2,5972200000000000000000000,0.299,11.209,0.1528,0.056125943,0,Transit,G5 IV/V,G
Kepler-1672 b,1276,12.548,Neptune-like,2020,9.11,5972200000000000000000000,0.265,11.209,0.5726,0.41314167,0,Transit,G8 IV,G
Kepler-1673 b,2372,13.783,Neptune-like,2020,8.93,5972200000000000000000000,0.262,11.209,0.2127,0.092539355,0,Transit,G6 V,G
Kepler-1674 b,3303,15.697,Neptune-like,2020,10.4,5972200000000000000000000,0.286,11.209,0.3017,0.17138946,0,Transit,G0 V,G
Kepler-1675 b,2124,13.672,Neptune-like,2020,9.93,5972200000000000000000000,0.279,11.209,0.3076,0.1724846,0,Transit,K2.5 V,K
Kepler-1677 b,2399,13.806,Neptune-like,2020,7.76,5972200000000000000000000,0.241,11.209,0.1624,0.060506504,0,Transit,G8V,G
Kepler-1678 b,2764,15.02,Neptune-like,2020,10.9,5972200000000000000000000,0.295,11.209,0.5302,0.4052019,0,Transit,K0,K
Kepler-1681 b,2474,14.646,Neptune-like,2020,7.05,5972200000000000000000000,0.228,11.209,0.32,0.19137578,0,Transit,K0,K
Kepler-1682 b,3783,15.907,Neptune-like,2020,8.7,5972200000000000000000000,0.258,11.209,0.1134,0.04052019,0,Transit,G5,G
Kepler-1684 b,2029,15.951,Neptune-like,2020,8.6,5972200000000000000000000,0.256,11.209,0.2253,0.13059549,0,Transit,G5 IV,G
Kepler-1685 b,3725,16.096,Neptune-like,2020,7.16,5972200000000000000000000,0.23,11.209,0.1485,0.056125943,0,Transit,F8 V,F
Kepler-168 c,4383,14.842,Neptune-like,2014,7.7,5972200000000000000000000,0.24,11.209,0.116,0.03613963,0,Transit,K0,K
Kepler-1690 b,2296,14.882,Neptune-like,2020,8.3,5972200000000000000000000,0.251,11.209,0.7097,0.64229983,0,Transit,G6 IV,G
Kepler-1696 b,4914,15.505,Neptune-like,2020,8.29,5972200000000000000000000,0.251,11.209,0.3244,0.18042438,0,Transit,K0,K
Kepler-169 f,1326,14.424,Neptune-like,2014,7.18,5972200000000000000000000,0.23,11.209,0.359,0.2384668,0,Transit,M2.5 V,M
Kepler-1700 b,2341,13.764,Neptune-like,2020,8.76,5972200000000000000000000,0.259,11.209,0.7576,0.64120466,0,Transit,K0 III/IV,K
Kepler-1709 b,894,11.642,Neptune-like,2021,9.93,5972200000000000000000000,0.279,11.209,0.3192,0.17987679,0,Transit,G8 IV,G
Kepler-170 c,2409,14.344,Neptune-like,2014,8.55,5972200000000000000000000,0.255,11.209,0.131,0.045722112,0,Transit,K0 III,K
Kepler-1710 b,996,12.695,Neptune-like,2021,10.3,5972200000000000000000000,0.285,11.209,0.1159,0.040793974,0,Transit,K2,K
Kepler-1712 b,510,14.946,Neptune-like,2021,5.83,5972200000000000000000000,0.204,11.209,0.0903,0.03778234,0,Transit,K2,K
Kepler-1714 b,1336,11.041,Neptune-like,2021,10.7,5972200000000000000000000,0.291,11.209,0.1047,0.028199865,0,Transit,K3 IV,K
Kepler-1715 b,1705,12.881,Neptune-like,2021,16,5972200000000000000000000,0.369,11.209,0.2178,0.09746748,0,Transit,K3 IV,K
Kepler-1716 b,638,13.129,Neptune-like,2021,6.46,5972200000000000000000000,0.216,11.209,0.1916,0.09746748,0,Transit,K3 IV,K
Kepler-1717 b,3291,13.323,Neptune-like,2021,9.21,5972200000000000000000000,0.267,11.209,0.2014,0.08405202,0,Transit,G1 V,G
Kepler-1718 b,1225,12.821,Neptune-like,2021,7.12,5972200000000000000000000,0.229,11.209,0.4878,0.37015742,0,Transit,G2 IV,G
Kepler-1719 b,2953,13.478,Neptune-like,2021,14.8,5972200000000000000000000,0.352,11.209,0.0674,0.01670089,0,Transit,G2 IV,G
Kepler-171 b,2818,15.101,Neptune-like,2014,6.08,5972200000000000000000000,0.209,11.209,0.05,0.011498973,0,Transit,G2 V,G
Kepler-171 c,2818,15.101,Neptune-like,2014,7.08,5972200000000000000000000,0.228,11.209,0.098,0.031485286,0,Transit,K0 III-IV,K
Kepler-1720 b,2053,14.822,Neptune-like,2021,10.4,5972200000000000000000000,0.287,11.209,0.1043,0.034770705,0,Transit,K0 III-IV,K
Kepler-1721 b,2092,15.085,Neptune-like,2021,9.9,5972200000000000000000000,0.278,11.209,0.0519,0.012594113,0,Transit,K0 III-IV,K
